qid,question,rule_policy,oracle_policy,chunk_confidence,bm25_confidence,hybrid_confidence,ace_confidence,ace_chunk_doc_jaccard,chunk_packed_160_tokens,chunk_packed_160_doc_count,chunk_packed_160_em,chunk_packed_160_f1,ace_packed_160_tokens,ace_packed_160_doc_count,ace_packed_160_em,ace_packed_160_f1,ace_focused_160_tokens,ace_focused_160_doc_count,ace_focused_160_em,ace_focused_160_f1
1421,Which viruses may not cause prolonged inflammation due to strong induction of antiviral clearance?,chunk_packed_160,chunk_packed_160,0.18922767021708223,0.19347072039874522,0.19396955930821286,0.21381247690711444,0.1111111111111111,148,3,0.0,0.08695652173913045,154,3,0.0,0.0,145,4,0.0,0.0
677,When was the first case of COVID-19 identified?,ace_packed_160,ace_packed_160,0.19892555147557212,0.24,0.2402517640800219,0.25037641245648307,1.0,158,4,0.0,0.0,143,3,0.0,0.3,158,4,0.0,0.3
39,How many antigens could be detected by Liew's multiplex ELISA test?,chunk_packed_160,ace_packed_160,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.19,0.6666666666666666,151,3,0.0,0.2222222222222222,142,3,0.0,0.2222222222222222,142,3,0.0,0.2222222222222222
1468,What is the structure of Hantaan virus?,ace_packed_160,ace_packed_160,0.20294117647058824,0.20296492028625487,0.21412468012431982,0.2464285714285714,0.6666666666666666,124,2,0.0,0.0983606557377049,154,3,0.0,0.1639344262295082,154,3,0.0,0.10169491525423728
798,How many people did SARS-CoV infect?,chunk_packed_160,ace_packed_160,0.18558532250670806,0.21166664899104815,0.18234774287404135,0.195282075592793,0.42857142857142855,148,3,0.0,0.0,141,3,0.0,0.125,152,3,0.0,0.0
1301,What was the focus of the study?,ace_packed_160,ace_focused_160,0.19140890470430078,0.212736808218362,0.2182097310825622,0.22805796798359396,0.1111111111111111,140,3,0.0,0.0273972602739726,146,4,0.0,0.0,146,5,0.0,0.21052631578947367
1047,What contributed to a large part of mammalian genomic sequence?,ace_packed_160,chunk_packed_160,0.1871596566199798,0.23235799776538085,0.19276509435873418,0.26930067796218726,0.6666666666666666,133,2,0.0,0.0,157,3,0.0,0.0,153,3,0.0,0.0
1191,What is severe MARS noted for?,ace_packed_160,ace_packed_160,0.17022889371119496,0.21067607418683296,0.16801692007893534,0.2329875403668933,0.0,151,5,0.0,0.0,136,4,0.0,0.0,145,4,0.0,0.0
635,What animal models exist for both the asymptomatic carriage of PUUV and SNV?,ace_packed_160,ace_focused_160,0.2455716875169635,0.3214549809155902,0.2944485955809819,0.3306967114902586,0.25,141,2,0.0,0.17391304347826084,160,3,0.0,0.6,158,3,0.0,0.6
1248,What does Clade A contain?,ace_packed_160,ace_focused_160,0.16984681486062692,0.18823407335848896,0.1989796632446677,0.256683894596512,0.42857142857142855,155,3,0.0,0.0,159,3,0.0,0.0,138,3,0.0,0.0
1121,What is  an example of anti-viral defense in bats?,chunk_packed_160,chunk_packed_160,0.19518284543274805,0.22483811174908383,0.2190318090351645,0.2090318381962607,0.6666666666666666,142,3,0.0,0.14285714285714288,148,4,0.0,0.14285714285714288,149,4,0.0,0.14285714285714288
67,What could be novel candidates as potent inhibitors of papain like cysteine proteases in resistant microorganisms?,chunk_packed_160,ace_packed_160,0.2450937452877903,0.24402985074626865,0.24402985074626865,0.2625,0.6666666666666666,159,3,0.0,0.1904761904761905,158,3,0.0,0.1904761904761905,158,3,0.0,0.1904761904761905
1077,What are exhibited in the two phases?,ace_packed_160,ace_packed_160,0.18244733772702687,0.20557722851549148,0.21638932469694575,0.2734847232355819,0.0,155,5,0.0,0.0,145,4,0.0,0.0,152,4,0.0,0.0
585,How was HFRS  first brought to the attention of western medicine ?,ace_packed_160,ace_focused_160,0.20234164651143527,0.27319410577669334,0.23870366957839534,0.269804931224867,0.6666666666666666,160,2,0.0,0.1142857142857143,150,2,0.0,0.1142857142857143,148,3,0.0,0.1142857142857143
736,What has been the application of phage display technology?,ace_packed_160,chunk_packed_160,0.18853526190030953,0.20051452324679037,0.1922420660295875,0.2378109144737396,0.1111111111111111,138,2,0.0,0.24489795918367344,154,3,0.0,0.0,151,2,0.0,0.0
1628,Are the modern day Influenza viruses related to the 1918 Spanish Influenza virus?,ace_packed_160,chunk_packed_160,0.22402375893553123,0.24479932915642064,0.24769971273820746,0.29347761771933095,0.6666666666666666,155,3,0.0,0.0,160,3,0.0,0.0,155,3,0.0,0.0
1560,In how many cases the symptoms at diagnosis were consistent with the case definition for acute respiratory infection?,chunk_packed_160,ace_packed_160,0.2259788300559536,0.238088462883726,0.2354147674162072,0.22803358323991268,0.42857142857142855,158,3,0.0,0.0,150,3,0.0,0.03278688524590164,160,3,0.0,0.0
1227,Which may be an occupational group with significantly higher incidence of seropositivity to MERS-CoV ?,ace_packed_160,ace_packed_160,0.23872003554552382,0.32125545145526946,0.2839945595141541,0.37885637460358906,0.25,160,3,0.0,0.125,136,2,0.0,0.125,152,3,0.0,0.125
1756,Is there an Influenza vaccine?,ace_packed_160,ace_packed_160,0.19276612762364204,0.18430763768636593,0.18024265499948855,0.2797683573897324,0.1111111111111111,154,5,0.0,0.05128205128205127,153,4,0.0,0.05128205128205127,160,3,0.0,0.05128205128205127
766,What is a future potential of filamentous phage?,ace_focused_160,ace_focused_160,0.18,0.18,0.18,0.2318181818181818,0.6666666666666666,154,2,0.0,0.0,144,3,0.0,0.5454545454545454,121,3,0.0,0.5454545454545454
145,What is the treatment for MERS-COV?,ace_packed_160,ace_packed_160,0.17967032967032967,0.1824192382618029,0.18461538461538463,0.2285340398223519,0.42857142857142855,153,3,0.0,0.08695652173913045,136,3,0.0,0.08695652173913045,136,3,0.0,0.08695652173913045
