qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
1421,chunk_packed_160,chunk,packed,0.0,0.087,0.0,0.3784,0.25,148.0,0.5,0.0
677,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7848,0.75,158.0,1.0,1.0
39,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.6556,0.5,151.0,0.5,0.0
1468,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5355,0.25,155.0,0.5,0.0
798,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7297,0.5,148.0,1.0,1.0
1301,chunk_packed_160,chunk,packed,0.0,0.0274,0.0,0.2643,0.25,140.0,0.5,0.0
1047,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4286,0.25,133.0,0.75,0.0
1191,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0
635,chunk_packed_160,chunk,packed,0.0,0.1739,0.0,0.625,0.25,128.0,0.25,0.0
1248,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.9226,0.5,155.0,0.75,0.0
1121,chunk_packed_160,chunk,packed,0.0,0.1429,0.0,1.0,0.75,142.0,1.0,1.0
67,chunk_packed_160,chunk,packed,0.0,0.1905,0.0,1.0,0.75,159.0,1.0,1.0
1077,chunk_packed_160,chunk,packed,0.0,0.2857,0.0,0.7285,0.5,151.0,0.5,0.0
585,chunk_packed_160,chunk,packed,0.0,0.1143,0.0,0.4938,0.25,160.0,0.75,0.0
736,chunk_packed_160,chunk,packed,0.0,0.2449,0.0,1.0,0.5,138.0,0.75,0.0
1628,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1374,0.25,131.0,0.25,0.0
1560,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6772,0.5,158.0,1.0,1.0
1227,chunk_packed_160,chunk,packed,0.0,0.125,0.0,0.575,0.5,160.0,0.5,0.0
1756,chunk_packed_160,chunk,packed,0.0,0.0513,0.0,0.3117,1.0,154.0,1.0,1.0
766,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.513,0.25,154.0,0.75,0.0
145,chunk_packed_160,chunk,packed,0.0,0.087,0.0,1.0,0.75,139.0,0.75,0.0
944,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5338,0.25,148.0,1.0,1.0
1091,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2361,0.25,72.0,0.5,0.0
1530,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5594,0.25,143.0,0.5,0.0
166,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6447,0.5,152.0,0.75,0.0
711,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0
423,chunk_packed_160,chunk,packed,0.0,0.0,0.0,1.0,0.5,146.0,1.0,1.0
303,chunk_packed_160,chunk,packed,0.0,0.25,0.0,1.0,0.75,153.0,0.75,0.0
1370,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4437,0.25,160.0,0.5,0.0
1585,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5436,0.25,149.0,0.75,0.0
191,chunk_packed_160,chunk,packed,0.0,0.0678,0.0,0.3896,0.25,154.0,0.75,0.0
226,chunk_packed_160,chunk,packed,0.0,0.1111,0.0,0.1149,0.25,148.0,0.5,0.0
300,chunk_packed_160,chunk,packed,0.0,0.0588,0.0,1.0,0.5,143.0,1.0,1.0
1728,chunk_packed_160,chunk,packed,0.0,0.2545,0.0,0.5497,0.5,151.0,0.75,0.0
549,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6606,0.75,109.0,0.75,0.0
1663,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7042,0.5,142.0,0.75,0.0
157,chunk_packed_160,chunk,packed,0.0,0.0851,0.0,0.7055,0.5,146.0,0.75,0.0
1070,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4839,0.25,155.0,0.75,0.0
235,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5075,0.25,134.0,0.75,0.0
1709,chunk_packed_160,chunk,packed,0.0,0.0,0.0,1.0,0.5,135.0,0.75,0.0
1411,chunk_packed_160,chunk,packed,0.0,0.058,0.0,1.0,0.5,135.0,1.0,1.0
1615,chunk_packed_160,chunk,packed,0.0,0.1176,0.0,0.4408,0.25,152.0,0.25,0.0
1610,chunk_packed_160,chunk,packed,0.0,0.0588,0.0,0.2025,0.25,158.0,0.25,0.0
1354,chunk_packed_160,chunk,packed,0.0,0.0615,0.0,0.4744,0.25,156.0,0.75,0.0
1261,chunk_packed_160,chunk,packed,0.0,0.4,0.0,0.5614,0.75,114.0,0.75,0.0
1511,chunk_packed_160,chunk,packed,0.0,0.069,0.0,0.5789,0.5,57.0,1.0,1.0
1475,chunk_packed_160,chunk,packed,0.0,0.1176,0.0,1.0,0.5,140.0,1.0,1.0
383,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,160.0,0.25,0.0
452,chunk_packed_160,chunk,packed,0.0,0.5185,0.0,0.837,0.5,135.0,0.75,0.0
1237,chunk_packed_160,chunk,packed,0.0,0.3636,1.0,0.0,0.0,115.0,0.5,0.0
283,chunk_packed_160,chunk,packed,0.0,0.1429,0.0,0.6053,0.5,152.0,0.5,0.0
668,chunk_packed_160,chunk,packed,0.0,0.0392,0.0,0.0,0.0,152.0,0.5,0.0
1492,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.7358,0.75,106.0,1.0,1.0
1257,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4043,0.25,141.0,0.25,0.0
165,chunk_packed_160,chunk,packed,0.0,0.1429,0.0,0.7143,0.5,147.0,0.75,0.0
1580,chunk_packed_160,chunk,packed,0.0,0.1356,0.0,1.0,0.5,149.0,1.0,1.0
1394,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1951,0.25,123.0,0.5,0.0
69,chunk_packed_160,chunk,packed,0.0,0.5833,0.0,0.3019,0.25,159.0,0.75,0.0
38,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4755,0.25,143.0,0.75,0.0
823,chunk_packed_160,chunk,packed,0.0,0.0476,0.0,0.8924,0.5,158.0,1.0,1.0
737,chunk_packed_160,chunk,packed,0.0,0.0308,0.0,0.0,0.0,150.0,0.5,0.0
543,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4369,0.5,103.0,0.5,0.0
902,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,131.0,0.75,0.0
1726,chunk_packed_160,chunk,packed,0.0,0.4706,0.0,0.5875,0.75,160.0,0.75,0.0
881,chunk_packed_160,chunk,packed,0.0,0.0513,0.0,0.6122,0.5,147.0,1.0,1.0
1271,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7455,0.75,110.0,0.75,0.0
1241,chunk_packed_160,chunk,packed,0.0,0.0506,0.0,0.6887,0.5,151.0,1.0,1.0
217,chunk_packed_160,chunk,packed,0.0,0.2857,0.0,1.0,0.75,144.0,1.0,1.0
929,chunk_packed_160,chunk,packed,0.0,0.1538,0.0,0.6579,0.5,152.0,1.0,1.0
1086,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8089,0.25,157.0,0.25,0.0
1114,chunk_packed_160,chunk,packed,0.0,0.0513,0.0,1.0,0.5,156.0,1.0,1.0
760,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4837,0.25,153.0,0.75,0.0
1239,chunk_packed_160,chunk,packed,0.0,0.3636,1.0,0.3391,0.25,115.0,0.5,0.0
1069,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7133,0.5,150.0,1.0,1.0
995,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7733,0.5,150.0,0.75,0.0
1588,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,151.0,0.25,0.0
1450,chunk_packed_160,chunk,packed,0.0,0.0678,0.0,0.0,0.0,160.0,0.0,0.0
1135,chunk_packed_160,chunk,packed,0.0,0.0,0.0,1.0,1.0,158.0,1.0,1.0
378,chunk_packed_160,chunk,packed,0.0,0.0,0.0,1.0,1.0,152.0,1.0,1.0
991,chunk_packed_160,chunk,packed,0.0,0.1304,0.0,1.0,1.0,158.0,1.0,1.0
1117,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2089,0.25,158.0,0.5,0.0
