qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5,ans_in_context_nli
1421,chunk_packed_160,chunk,packed,0.0,0.087,0.0,0.381,0.3784,0.25,148.0,0.5,0.0,0.0008
677,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8235,0.7848,0.75,158.0,1.0,1.0,0.6779
39,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.5,0.6556,0.5,151.0,0.5,0.0,0.0006
1468,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4186,0.5355,0.25,155.0,0.5,0.0,0.0396
798,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4,0.7297,0.5,148.0,1.0,1.0,0.0011
1301,chunk_packed_160,chunk,packed,0.0,0.0274,0.0,0.1957,0.2643,0.25,140.0,0.5,0.0,0.0009
1047,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6667,0.4286,0.25,133.0,0.75,0.0,0.0003
1191,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1667,0.0,0.0,157.0,0.0,0.0,0.0003
635,chunk_packed_160,chunk,packed,0.0,0.1739,0.0,0.95,0.625,0.25,128.0,0.25,0.0,0.0005
1248,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7273,0.9226,0.5,155.0,0.75,0.0,0.0017
1121,chunk_packed_160,chunk,packed,0.0,0.1429,0.0,0.5217,1.0,0.75,142.0,1.0,1.0,0.9903
67,chunk_packed_160,chunk,packed,0.0,0.1905,0.0,0.8333,1.0,0.75,159.0,1.0,1.0,0.9748
1077,chunk_packed_160,chunk,packed,0.0,0.2857,0.0,0.6364,0.7285,0.5,151.0,0.5,0.0,0.2136
585,chunk_packed_160,chunk,packed,0.0,0.1143,0.0,1.0,0.4938,0.25,160.0,0.75,0.0,0.0234
736,chunk_packed_160,chunk,packed,0.0,0.2449,0.0,0.7143,1.0,0.5,138.0,0.75,0.0,0.9955
1628,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.14,0.1374,0.25,131.0,0.25,0.0,0.0267
1560,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4444,0.6772,0.5,158.0,1.0,1.0,0.0074
1227,chunk_packed_160,chunk,packed,0.0,0.125,0.0,0.8667,0.575,0.5,160.0,0.5,0.0,0.0003
1756,chunk_packed_160,chunk,packed,0.0,0.0513,0.0,0.4375,0.3117,1.0,154.0,1.0,1.0,0.0454
766,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.513,0.25,154.0,0.75,0.0,0.0018
145,chunk_packed_160,chunk,packed,0.0,0.087,0.0,0.551,1.0,0.75,139.0,0.75,0.0,0.001
944,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1333,0.5338,0.25,148.0,1.0,1.0,0.0016
1091,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3,0.2361,0.25,72.0,0.5,0.0,0.2614
1530,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3455,0.5594,0.25,143.0,0.5,0.0,0.9163
166,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.6447,0.5,152.0,0.75,0.0,0.01
711,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2424,0.0,0.0,146.0,0.0,0.0,0.0002
423,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.76,1.0,0.5,146.0,1.0,1.0,0.9911
303,chunk_packed_160,chunk,packed,0.0,0.25,0.0,0.9231,1.0,0.75,153.0,0.75,0.0,0.9912
1370,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8667,0.4437,0.25,160.0,0.5,0.0,0.0297
1585,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4366,0.5436,0.25,149.0,0.75,0.0,0.0017
191,chunk_packed_160,chunk,packed,0.0,0.0678,0.0,0.5,0.3896,0.25,154.0,0.75,0.0,0.0311
226,chunk_packed_160,chunk,packed,0.0,0.1111,0.0,0.2727,0.1149,0.25,148.0,0.5,0.0,0.0005
300,chunk_packed_160,chunk,packed,0.0,0.0588,0.0,0.6333,1.0,0.5,143.0,1.0,1.0,0.0782
1728,chunk_packed_160,chunk,packed,0.0,0.2545,0.0,0.5135,0.5497,0.5,151.0,0.75,0.0,0.0009
549,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4583,0.6606,0.75,109.0,0.75,0.0,0.0018
1663,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4375,0.7042,0.5,142.0,0.75,0.0,0.0861
157,chunk_packed_160,chunk,packed,0.0,0.0851,0.0,0.5,0.7055,0.5,146.0,0.75,0.0,0.0007
1070,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2857,0.4839,0.25,155.0,0.75,0.0,0.0005
235,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6154,0.5075,0.25,134.0,0.75,0.0,0.0003
1709,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3182,1.0,0.5,135.0,0.75,0.0,0.012
1411,chunk_packed_160,chunk,packed,0.0,0.058,0.0,0.3478,1.0,0.5,135.0,1.0,1.0,0.9948
1615,chunk_packed_160,chunk,packed,0.0,0.1176,0.0,0.8125,0.4408,0.25,152.0,0.25,0.0,0.0005
1610,chunk_packed_160,chunk,packed,0.0,0.0588,0.0,0.4444,0.2025,0.25,158.0,0.25,0.0,0.0002
1354,chunk_packed_160,chunk,packed,0.0,0.0615,0.0,0.6154,0.4744,0.25,156.0,0.75,0.0,0.0529
1261,chunk_packed_160,chunk,packed,0.0,0.4,0.0,0.6,0.5614,0.75,114.0,0.75,0.0,0.0543
1511,chunk_packed_160,chunk,packed,0.0,0.069,0.0,0.2083,0.5789,0.5,57.0,1.0,1.0,0.0294
1475,chunk_packed_160,chunk,packed,0.0,0.1176,0.0,0.5714,1.0,0.5,140.0,1.0,1.0,0.006
383,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.0,0.0,160.0,0.25,0.0,0.003
452,chunk_packed_160,chunk,packed,0.0,0.5185,0.0,0.8947,0.837,0.5,135.0,0.75,0.0,0.938
1237,chunk_packed_160,chunk,packed,0.0,0.3636,1.0,1.0,0.0,0.0,115.0,0.5,0.0,0.8455
283,chunk_packed_160,chunk,packed,0.0,0.1429,0.0,0.75,0.6053,0.5,152.0,0.5,0.0,0.0043
668,chunk_packed_160,chunk,packed,0.0,0.0392,0.0,0.25,0.0,0.0,152.0,0.5,0.0,0.0029
1492,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.7358,0.75,106.0,1.0,1.0,0.0079
1257,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4,0.4043,0.25,141.0,0.25,0.0,0.0002
165,chunk_packed_160,chunk,packed,0.0,0.1429,0.0,0.697,0.7143,0.5,147.0,0.75,0.0,0.0008
1580,chunk_packed_160,chunk,packed,0.0,0.1356,0.0,0.3684,1.0,0.5,149.0,1.0,1.0,0.0028
1394,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4483,0.1951,0.25,123.0,0.5,0.0,0.0002
69,chunk_packed_160,chunk,packed,0.0,0.5833,0.0,0.8667,0.3019,0.25,159.0,0.75,0.0,0.9953
38,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6875,0.4755,0.25,143.0,0.75,0.0,0.0005
823,chunk_packed_160,chunk,packed,0.0,0.0476,0.0,0.6333,0.8924,0.5,158.0,1.0,1.0,0.0393
737,chunk_packed_160,chunk,packed,0.0,0.0308,0.0,0.3191,0.0,0.0,150.0,0.5,0.0,0.0009
543,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0968,0.4369,0.5,103.0,0.5,0.0,0.8088
902,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2667,0.0,0.0,131.0,0.75,0.0,0.001
1726,chunk_packed_160,chunk,packed,0.0,0.4706,0.0,0.9,0.5875,0.75,160.0,0.75,0.0,0.0004
881,chunk_packed_160,chunk,packed,0.0,0.0513,0.0,0.2812,0.6122,0.5,147.0,1.0,1.0,0.0014
1271,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2778,0.7455,0.75,110.0,0.75,0.0,0.0006
1241,chunk_packed_160,chunk,packed,0.0,0.0506,0.0,0.5714,0.6887,0.5,151.0,1.0,1.0,0.002
217,chunk_packed_160,chunk,packed,0.0,0.2857,0.0,1.0,1.0,0.75,144.0,1.0,1.0,0.0033
929,chunk_packed_160,chunk,packed,0.0,0.1538,0.0,0.7273,0.6579,0.5,152.0,1.0,1.0,0.0851
1086,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7037,0.8089,0.25,157.0,0.25,0.0,0.0738
1114,chunk_packed_160,chunk,packed,0.0,0.0513,0.0,0.2759,1.0,0.5,156.0,1.0,1.0,0.0007
760,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3,0.4837,0.25,153.0,0.75,0.0,0.0001
1239,chunk_packed_160,chunk,packed,0.0,0.3636,1.0,1.0,0.3391,0.25,115.0,0.5,0.0,0.8455
1069,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.7133,0.5,150.0,1.0,1.0,0.0004
995,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8485,0.7733,0.5,150.0,0.75,0.0,0.0322
1588,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2045,0.0,0.0,151.0,0.25,0.0,0.2085
1450,chunk_packed_160,chunk,packed,0.0,0.0678,0.0,0.2174,0.0,0.0,160.0,0.0,0.0,0.0006
1135,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7333,1.0,1.0,158.0,1.0,1.0,0.1794
378,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2,1.0,1.0,152.0,1.0,1.0,0.0025
991,chunk_packed_160,chunk,packed,0.0,0.1304,0.0,0.5263,1.0,1.0,158.0,1.0,1.0,0.9852
1117,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4091,0.2089,0.25,158.0,0.5,0.0,0.0002
959,chunk_packed_160,chunk,packed,0.0,0.08,0.0,0.8571,0.7566,0.5,152.0,0.75,0.0,0.9908
1495,chunk_packed_160,chunk,packed,0.0,0.1,0.0,0.5,0.7167,0.5,60.0,0.5,0.0,0.002
1281,chunk_packed_160,chunk,packed,0.0,0.1333,0.0,0.5714,1.0,0.75,132.0,1.0,1.0,0.0004
517,chunk_packed_160,chunk,packed,0.0,0.129,0.0,0.3571,1.0,0.75,152.0,1.0,1.0,0.0003
1696,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8824,0.6939,0.5,147.0,0.5,0.0,0.0045
1097,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2564,0.7812,0.25,160.0,0.25,0.0,0.0116
1183,chunk_packed_160,chunk,packed,0.0,0.0941,0.0,0.5556,1.0,0.5,151.0,0.75,0.0,0.0006
1742,chunk_packed_160,chunk,packed,0.0,0.2667,0.0,0.5385,1.0,0.75,152.0,1.0,1.0,0.1957
438,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4167,1.0,0.75,157.0,1.0,1.0,0.0013
727,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.6282,0.5,156.0,0.5,0.0,0.0005
305,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2667,0.0,0.0,160.0,0.25,0.0,0.0005
267,chunk_packed_160,chunk,packed,0.0,0.1667,0.0,0.8182,1.0,0.75,151.0,0.75,0.0,0.9528
602,chunk_packed_160,chunk,packed,0.0,0.3077,0.0,0.8621,1.0,0.5,157.0,0.75,0.0,0.9896
1042,chunk_packed_160,chunk,packed,0.0,0.0833,0.0,0.4667,0.4286,0.25,154.0,0.75,0.0,0.0006
429,chunk_packed_160,chunk,packed,0.0,0.4444,0.0,0.5714,0.732,0.5,153.0,1.0,1.0,0.9859
1109,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3958,0.0,0.0,144.0,0.75,0.0,0.0005
1116,chunk_packed_160,chunk,packed,0.0,0.2105,1.0,1.0,0.5263,0.25,152.0,0.5,0.0,0.0007
344,chunk_packed_160,chunk,packed,0.0,0.0465,0.0,0.3846,1.0,0.5,159.0,0.75,0.0,0.001
658,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5316,1.0,0.75,159.0,0.75,0.0,0.0267
1449,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3846,0.2579,0.25,159.0,0.5,0.0,0.1685
1304,chunk_packed_160,chunk,packed,0.0,0.0571,0.0,0.5556,1.0,0.5,160.0,0.75,0.0,0.0006
778,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2143,0.0,0.0,132.0,0.5,0.0,0.0003
1752,chunk_packed_160,chunk,packed,0.0,0.125,0.0,0.3846,0.552,0.25,125.0,0.75,0.0,0.0008
717,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,1.0,0.5,157.0,1.0,1.0,0.0021
669,chunk_packed_160,chunk,packed,0.0,0.0615,0.0,0.3061,0.6382,0.5,152.0,0.75,0.0,0.0019
831,chunk_packed_160,chunk,packed,0.0,0.069,0.0,0.381,0.4938,0.25,160.0,0.25,0.0,0.0016
160,chunk_packed_160,chunk,packed,0.0,0.2,0.0,0.3333,1.0,0.5,121.0,0.75,0.0,0.9537
801,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4138,0.3797,0.25,158.0,0.25,0.0,0.0013
848,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3235,0.6474,0.5,156.0,0.5,0.0,0.0003
869,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1304,0.0,0.0,141.0,0.25,0.0,0.0006
1000,chunk_packed_160,chunk,packed,0.0,0.3333,0.0,0.8125,1.0,0.75,158.0,1.0,1.0,0.0015
453,chunk_packed_160,chunk,packed,0.0,0.0741,0.0,0.25,0.5782,0.5,147.0,0.75,0.0,0.0004
1085,chunk_packed_160,chunk,packed,0.0,0.8,0.0,1.0,0.3881,0.5,134.0,0.5,0.0,0.9709
997,chunk_packed_160,chunk,packed,0.0,0.1951,0.0,0.6607,1.0,0.75,158.0,0.75,0.0,0.0235
25,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6364,1.0,1.0,142.0,1.0,1.0,0.0076
1174,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1667,0.252,0.5,123.0,0.5,0.0,0.0024
3,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4524,1.0,0.5,156.0,1.0,1.0,0.7775
1445,chunk_packed_160,chunk,packed,0.0,0.2532,0.0,0.3333,0.4706,0.5,153.0,1.0,1.0,0.0004
331,chunk_packed_160,chunk,packed,0.0,0.1918,0.0,0.88,0.65,0.5,140.0,0.5,0.0,0.0099
1251,chunk_packed_160,chunk,packed,0.0,0.1538,0.0,1.0,0.8471,0.5,157.0,1.0,1.0,0.9521
495,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1818,0.0,0.0,155.0,0.0,0.0,0.0005
1533,chunk_packed_160,chunk,packed,0.0,0.0488,0.0,0.2121,0.4029,0.25,139.0,0.75,0.0,0.0004
1009,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.7862,0.75,145.0,1.0,1.0,0.0004
436,chunk_packed_160,chunk,packed,0.0,0.1818,0.0,0.7,1.0,0.75,155.0,1.0,1.0,0.9509
468,chunk_packed_160,chunk,packed,0.0,0.0364,0.0,0.3261,0.4615,0.25,156.0,1.0,1.0,0.044
790,chunk_packed_160,chunk,packed,0.0,0.0833,0.0,0.5946,0.5586,0.25,145.0,0.75,0.0,0.0009
447,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2778,0.9125,0.5,160.0,0.75,0.0,0.0071
724,chunk_packed_160,chunk,packed,0.0,0.24,0.0,0.4444,0.8526,0.75,156.0,1.0,1.0,0.003
918,chunk_packed_160,chunk,packed,0.0,0.1176,0.0,0.5333,1.0,0.5,140.0,0.75,0.0,0.0006
788,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6364,0.8269,0.75,156.0,1.0,1.0,0.001
171,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.625,1.0,0.75,153.0,1.0,1.0,0.0001
1247,chunk_packed_160,chunk,packed,0.0,0.4615,1.0,1.0,0.6577,0.5,149.0,0.5,0.0,0.0002
1036,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1429,0.0,0.0,160.0,0.0,0.0,0.0007
450,chunk_packed_160,chunk,packed,0.0,0.125,0.0,0.8333,1.0,0.75,149.0,1.0,1.0,0.0064
330,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3636,0.8481,0.75,158.0,1.0,1.0,0.0573
906,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8571,1.0,0.75,151.0,1.0,1.0,0.0007
912,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.9167,0.4507,0.25,142.0,1.0,1.0,0.9925
903,chunk_packed_160,chunk,packed,0.0,0.1071,0.0,0.3659,1.0,0.5,126.0,0.75,0.0,0.0005
215,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2,0.0,0.0,159.0,0.25,0.0,0.0008
1741,chunk_packed_160,chunk,packed,0.0,0.1,0.0,0.3333,0.2385,0.25,130.0,0.75,0.0,0.0019
1046,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.625,1.0,0.75,155.0,1.0,1.0,0.0014
277,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4815,0.791,0.5,134.0,1.0,1.0,0.0
338,chunk_packed_160,chunk,packed,0.0,0.2,0.0,0.5429,1.0,0.75,157.0,1.0,1.0,0.9899
1208,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.9375,1.0,0.5,143.0,0.5,0.0,0.9892
843,chunk_packed_160,chunk,packed,0.0,0.1143,0.0,0.35,0.443,0.25,158.0,0.5,0.0,0.0662
1255,chunk_packed_160,chunk,packed,0.0,0.2,0.0,0.4545,0.8917,0.75,157.0,1.0,1.0,0.4711
854,chunk_packed_160,chunk,packed,0.0,0.2655,0.0,0.4237,0.859,0.5,156.0,0.5,0.0,0.0012
674,chunk_packed_160,chunk,packed,0.0,0.1081,0.0,0.2558,0.4813,0.25,160.0,0.75,0.0,0.0009
1031,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1429,1.0,0.5,135.0,1.0,1.0,0.0763
403,chunk_packed_160,chunk,packed,0.0,0.0286,0.0,0.619,0.6667,0.5,153.0,0.75,0.0,0.3645
978,chunk_packed_160,chunk,packed,0.0,0.6667,0.0,0.75,0.465,0.25,157.0,0.5,0.0,0.6251
1270,chunk_packed_160,chunk,packed,0.0,0.4,0.0,0.7,1.0,1.0,91.0,1.0,1.0,0.0124
569,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1875,0.0,0.0,158.0,0.25,0.0,0.0005
1748,chunk_packed_160,chunk,packed,0.0,0.4545,0.0,0.8,0.7879,0.5,132.0,0.75,0.0,0.0239
769,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3704,0.4459,0.25,148.0,1.0,1.0,0.0005
962,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.325,0.0,0.0,148.0,0.0,0.0,0.0483
35,chunk_packed_160,chunk,packed,0.0,0.1091,0.0,0.3226,1.0,0.5,144.0,1.0,1.0,0.0006
871,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.7059,0.5987,0.25,152.0,0.25,0.0,0.0081
152,chunk_packed_160,chunk,packed,0.0,0.1176,0.0,0.75,1.0,0.5,142.0,1.0,1.0,0.997
119,chunk_packed_160,chunk,packed,0.0,0.1333,0.0,0.3889,0.457,0.25,151.0,1.0,1.0,0.0039
667,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.4286,1.0,0.75,147.0,1.0,1.0,0.0035
1015,chunk_packed_160,chunk,packed,0.0,0.3056,0.0,0.5714,1.0,0.75,144.0,1.0,1.0,0.001
1494,chunk_packed_160,chunk,packed,0.0,0.08,0.0,0.2273,0.5294,0.5,68.0,0.5,0.0,0.001
1287,chunk_packed_160,chunk,packed,0.0,0.3,0.0,0.6,0.4406,0.25,143.0,0.75,0.0,0.9692
1649,chunk_packed_160,chunk,packed,0.0,0.1538,0.0,0.4545,0.3217,0.25,143.0,0.5,0.0,0.0272
1423,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4138,1.0,0.75,156.0,1.0,1.0,0.0027
70,chunk_packed_160,chunk,packed,0.0,0.3333,0.0,0.8,1.0,0.75,158.0,1.0,1.0,0.9875
363,chunk_packed_160,chunk,packed,0.0,0.4,0.0,0.9167,0.5556,0.25,144.0,0.75,0.0,0.8816
706,chunk_packed_160,chunk,packed,0.0,0.08,0.0,0.2609,0.535,0.25,157.0,1.0,1.0,0.0004
1345,chunk_packed_160,chunk,packed,0.0,0.1928,0.0,0.6364,0.1156,0.25,147.0,0.5,0.0,0.0018
879,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4286,0.7548,0.5,155.0,1.0,1.0,0.0392
692,chunk_packed_160,chunk,packed,0.0,0.1224,0.0,0.3529,0.5214,0.5,140.0,0.75,0.0,0.0007
1436,chunk_packed_160,chunk,packed,0.0,0.2,0.0,0.5333,0.4675,0.25,154.0,0.75,0.0,0.0159
1214,chunk_packed_160,chunk,packed,0.0,0.0526,0.0,0.2903,0.4286,0.25,140.0,0.5,0.0,0.0019
558,chunk_packed_160,chunk,packed,0.0,0.1667,0.0,0.6364,0.6667,0.75,144.0,0.75,0.0,0.0998
