qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5,ans_in_context_nli
expertqa_1081,chunk_packed_160,chunk,packed,0.0,0.0432,0.0,0.3333,1.0,1.0,152.0,1.0,1.0,0.725
expertqa_393,chunk_packed_160,chunk,packed,0.0,0.0164,0.0,0.4375,0.5,0.5,160.0,1.0,1.0,0.9829
expertqa_1162,chunk_packed_160,chunk,packed,0.0,0.0494,0.0,0.4167,1.0,0.6667,146.0,0.6667,0.0,0.0026
expertqa_1860,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3043,0.4437,0.5,160.0,0.5,0.0,0.0028
expertqa_1460,chunk_packed_160,chunk,packed,0.0,0.086,0.0,0.2656,0.5789,0.5,152.0,1.0,1.0,0.0015
expertqa_2021,chunk_packed_160,chunk,packed,0.0,0.0872,0.0,0.2941,1.0,0.6,145.0,1.0,1.0,0.8416
expertqa_116,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1408,0.1218,0.25,156.0,0.75,0.0,0.0008
expertqa_725,chunk_packed_160,chunk,packed,0.0,0.0719,0.0,0.1798,1.0,0.4,145.0,1.0,1.0,0.0148
expertqa_422,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3023,0.1625,0.6667,160.0,1.0,1.0,0.0042
expertqa_809,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3636,0.4522,0.5,157.0,1.0,1.0,0.973
expertqa_251,chunk_packed_160,chunk,packed,0.0,0.0652,0.0,0.3099,0.8333,0.75,156.0,0.75,0.0,0.0135
expertqa_67,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.4101,0.6667,139.0,1.0,1.0,0.0014
expertqa_1471,chunk_packed_160,chunk,packed,0.0,0.0822,0.0,0.28,0.8535,0.6667,157.0,0.6667,0.0,0.0009
expertqa_1452,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1667,0.5,0.3333,160.0,1.0,1.0,0.0134
expertqa_1368,chunk_packed_160,chunk,packed,0.0,0.0108,0.0,0.1776,1.0,0.2222,155.0,0.4444,0.0,0.0129
expertqa_154,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1392,0.0,0.0,159.0,0.3333,0.0,0.0243
