qid,question,rule_policy,oracle_policy,chunk_confidence,bm25_confidence,hybrid_confidence,ace_confidence,ace_chunk_doc_jaccard,chunk_packed_160_tokens,chunk_packed_160_doc_count,chunk_packed_160_em,chunk_packed_160_f1,ace_packed_160_tokens,ace_packed_160_doc_count,ace_packed_160_em,ace_packed_160_f1,ace_focused_160_tokens,ace_focused_160_doc_count,ace_focused_160_em,ace_focused_160_f1
expertqa_1081,What are the benefits of using myocardial perfusion imaging prior to angio?,ace_packed_160,ace_packed_160,0.21417607934131583,0.23364749949983515,0.22007862315066842,0.31126162967999044,0.42857142857142855,152,3,0.0,0.04316546762589929,160,3,0.0,0.09790209790209789,160,3,0.0,0.04316546762589929
expertqa_393,It is known that climate change is source of inequality. Could the solutions to combat climate change be also a source of inequality? If so how?,chunk_packed_160,ace_packed_160,0.2123759982778741,0.2032753342420832,0.20759751815604102,0.23568642281500174,0.42857142857142855,160,2,0.0,0.01639344262295082,158,3,0.0,0.01639344262295082,160,3,0.0,0.01639344262295082
expertqa_1162,What is the clinical use of catecholamine measurement?,ace_packed_160,ace_focused_160,0.18665665149580501,0.23048010716798484,0.2159641663731979,0.2276431026773435,0.25,146,2,0.0,0.04938271604938271,141,3,0.0,0.07317073170731707,137,3,0.0,0.07317073170731707
expertqa_1860,"If we'd have more supplies in and out the classromm, could we reach earlier the real meaning of education?",chunk_packed_160,ace_focused_160,0.18805822056555493,0.19758299473564134,0.1961326951030455,0.1996419727760943,0.42857142857142855,160,4,0.0,0.0,158,4,0.0,0.0,155,5,0.0,0.0
expertqa_1460,What first-line tests would you request for the management of sarcoidosis?,ace_packed_160,chunk_packed_160,0.19372292271527428,0.22784023780253998,0.24084874313422766,0.2433268645962104,0.42857142857142855,152,2,0.0,0.08602150537634409,156,3,0.0,0.08602150537634409,159,4,0.0,0.06521739130434782
expertqa_2021,SUMMARIZE THE HISTORY OF POP ART IN AMERICAN DESIGN,ace_packed_160,ace_focused_160,0.17817969773494657,0.18277622571640945,0.18215827456289055,0.2575853687090036,1.0,145,3,0.0,0.087248322147651,145,3,0.0,0.07432432432432433,146,2,0.0,0.13680781758957655
expertqa_116,Would it be dangerous for a human being to contact directly with imidazolium based ionic liquids in a context of occupational exposure?,chunk_packed_160,chunk_packed_160,0.19369268221010774,0.22125893137645683,0.19980741994878728,0.21523324020356316,0.25,156,3,0.0,0.0,159,3,0.0,0.0,158,3,0.0,0.0
expertqa_725,How would you promote dignity and respect in care?,ace_packed_160,ace_packed_160,0.19789053762275965,0.19957308491694384,0.19852421091649236,0.2562519652597061,0.6666666666666666,145,2,0.0,0.07194244604316546,160,3,0.0,0.1568627450980392,151,3,0.0,0.09859154929577466
expertqa_422,"Why does the word ""no"" itself not exist in chinese?",ace_packed_160,ace_focused_160,0.17470361272013207,0.18261513253455264,0.17797625842033146,0.2825378194258855,0.5,160,4,0.0,0.0,158,4,0.0,0.0,160,2,0.0,0.1917808219178082
expertqa_809,Can a diabetic person take medical products with any kind of sucrose?,chunk_packed_160,chunk_packed_160,0.18603799356029718,0.16357099806101838,0.1762970131078339,0.19753434424511107,0.25,157,2,0.0,0.0,159,3,0.0,0.0,159,3,0.0,0.0
expertqa_251,What is GIS?,ace_packed_160,chunk_packed_160,0.18137007973284022,0.1743077468301864,0.17111255939543188,0.38223521986827114,0.6666666666666666,156,4,0.0,0.06521739130434782,159,4,0.0,0.06521739130434782,158,3,0.0,0.06521739130434782
expertqa_67,"Suppose that a startup within the healthcare industry has no revenue, however, has secured a patent that is perceived to be highly coveted due to the nature of the innovation. Would a venture capitalist choose to invest in this scenario?",chunk_packed_160,chunk_packed_160,0.20591305253040854,0.22935235599701032,0.21650836978645793,0.21553807550923731,0.6666666666666666,139,3,0.0,0.0,156,3,0.0,0.0,146,2,0.0,0.0
expertqa_1471,What type of genu valgum is normal?,ace_packed_160,chunk_packed_160,0.17548796468937752,0.17961327009345332,0.177860839734461,0.27006983173078813,0.25,157,3,0.0,0.0821917808219178,160,4,0.0,0.0821917808219178,159,4,0.0,0.0821917808219178
expertqa_1452,"In the field relying on brain psychology, how do they know when the hypothesis is going to give a good result?",ace_packed_160,chunk_packed_160,0.18844265229459525,0.20385924438819875,0.21418138273610496,0.2616429000335118,0.25,160,2,0.0,0.0,160,3,0.0,0.0,160,2,0.0,0.0
expertqa_1368,Say you are testing an Emergency Brake Assist Algorithm in a simulated environment and in real-life scenario. You notice that your algorithm performs much better in a simulated environment. Can you provide a list of reasons on why that could be?,chunk_packed_160,chunk_packed_160,0.2029956654398831,0.2246613662419062,0.2295149295993056,0.18852728847904945,0.1111111111111111,155,2,0.0,0.010810810810810811,155,2,0.0,0.0,160,3,0.0,0.010810810810810811
expertqa_154,What are effective ways to cater for students of different abilities in a class?,ace_packed_160,ace_focused_160,0.19112298001290104,0.19188033322248768,0.18888142864114468,0.255985581307487,0.42857142857142855,159,3,0.0,0.0,156,4,0.0,0.012861736334405146,159,4,0.0,0.07499999999999998
expertqa_60,What are the benefits of processing samples and their positive and negative reagent controls in locked batches vs allowing for prioritisation based on sample priority and received date.  Does separation provide more points of comparison for investigations?,chunk_packed_160,ace_packed_160,0.1966733593172173,0.19668055395017733,0.19658758184703845,0.1919523630953297,0.42857142857142855,153,2,0.0,0.0,152,3,0.0,0.0,157,3,0.0,0.0
expertqa_1034,I'm trying to make a fully deuterated version of pyridine. How should I go about synthesizing it?,ace_packed_160,ace_focused_160,0.17619288072982384,0.2041727380518859,0.19863075578499362,0.21100106333379265,0.42857142857142855,159,2,0.0,0.0,159,3,0.0,0.0,160,4,0.0,0.13445378151260506
expertqa_1401,Malware was discovered on our company system and you are tasked to triage and remove the malware? Would you immediately remove the malware and/or which framework would you follow to respond the incident?,chunk_packed_160,chunk_packed_160,0.19181350455370877,0.22681865829622688,0.2185059253059105,0.20766779750669978,0.42857142857142855,158,3,0.0,0.14659685863874347,143,3,0.0,0.0,150,3,0.0,0.011904761904761906
expertqa_1974,What is cartesian dualism?,ace_packed_160,ace_packed_160,0.17628636305365533,0.17362997138639732,0.1772007121717525,0.2670433089051395,0.6666666666666666,155,2,0.0,0.032520325203252036,160,3,0.0,0.06400000000000002,160,3,0.0,0.032520325203252036
expertqa_494,What are targets for SEN pupils?,ace_packed_160,ace_focused_160,0.17364921842583667,0.24151830306671557,0.2110199757761545,0.3104580698057194,0.42857142857142855,159,2,0.0,0.0857142857142857,159,2,0.0,0.09230769230769231,157,2,0.0,0.18181818181818182
expertqa_740,"A patient has presented with low mood, insomnia and anhedonia. Upon assessment they disclose other periods of heightened mood, impulsivity and reduced inhibitions.What are the possible diagnoses? ",chunk_packed_160,ace_packed_160,0.1867231735011809,0.18842450983908932,0.1907414699567179,0.197905090855377,0.6666666666666666,157,3,0.0,0.024096385542168676,156,4,0.0,0.024096385542168676,159,4,0.0,0.024096385542168676
expertqa_1027,How do I separate gold?,ace_packed_160,ace_focused_160,0.17805954306837438,0.18764500704090414,0.17294737163240578,0.2978243878661958,0.3333333333333333,158,2,0.0,0.0,160,3,0.0,0.0,159,1,0.0,0.017543859649122806
expertqa_1661,"The problems in the private life of one of the team members you manage are reflected in his work and affect the rest of the team. This person's performance is very high under normal conditions and carries the team far, but the problem he/she has had has seriously affected your team since 1 week. How do you approach this situation and try to solve it?",chunk_packed_160,ace_packed_160,0.22213306998949642,0.22044731094422354,0.23740967073940206,0.2180991950554162,0.25,153,3,0.0,0.015384615384615385,143,2,0.0,0.1258741258741259,157,3,0.0,0.028368794326241134
expertqa_822,"If you get anthrax poisoning during a mission, which chemical agent should you use to neutralise the poison?",chunk_packed_160,chunk_packed_160,0.1786719866877584,0.18667770561645514,0.17765472625873457,0.20672217842662782,0.42857142857142855,154,3,0.0,0.04081632653061225,160,4,0.0,0.04081632653061225,154,4,0.0,0.04081632653061225
expertqa_533,"What are the different part requirements for flying parts made from aluminium, composite, steel and titanium?",ace_packed_160,chunk_packed_160,0.20094275973470424,0.22296826420244267,0.20645990257857846,0.2576459207196835,1.0,137,2,0.0,0.02666666666666667,141,2,0.0,0.02666666666666667,139,2,0.0,0.02666666666666667
expertqa_1047,Is timber suitable as a building material for high storeys in the United Kingdom?,ace_packed_160,chunk_packed_160,0.20532703128250795,0.21973058357204955,0.20604349867946498,0.29465782719170763,0.6666666666666666,144,2,0.0,0.012578616352201257,155,3,0.0,0.0,159,4,0.0,0.0
expertqa_168,A project manager on a construction site has to choose between cement and silica fume for construction. Which material is better?,ace_packed_160,ace_packed_160,0.20434858694246816,0.20433858296004861,0.2042581799781074,0.24,0.6666666666666666,132,2,0.0,0.014285714285714287,125,2,0.0,0.014285714285714287,119,2,0.0,0.014234875444839859
expertqa_1996,"Suppose the U.S. election results ends in a 269-269 tie in electoral votes. In such case, what process would be followed to elect (or re-elect) a president?",ace_packed_160,ace_packed_160,0.21885585965612298,0.23640133261095492,0.22267239191414642,0.2670436585532085,1.0,159,2,0.0,0.011764705882352941,152,2,0.0,0.03529411764705882,158,2,0.0,0.03529411764705882
expertqa_1872,"Imagine I am teaching -ed pronucniation, what would be your tips to pronounce them correctly?",chunk_packed_160,chunk_packed_160,0.21603731894122863,0.26297721118922646,0.2578744222644139,0.22972453405242416,0.1111111111111111,159,2,0.0,0.20754716981132076,160,4,0.0,0.19298245614035087,156,4,0.0,0.20689655172413796
expertqa_1090,"What is the best way to support a person living with dementia to remain in their own home when they have problems with night time waking, increased falls risk and no family support?",chunk_packed_160,ace_packed_160,0.21447806884200588,0.23901128792861248,0.22834876200606605,0.2193173360009541,0.8,158,3,0.0,0.0,160,3,0.0,0.0449438202247191,160,2,0.0,0.0449438202247191
expertqa_86,How can one determine the product formed after catalysis on an NMR without using standards?,chunk_packed_160,chunk_packed_160,0.17427480919118488,0.18064512063512098,0.19365180798533888,0.18806441441336072,1.0,152,3,0.0,0.0,154,3,0.0,0.0,154,3,0.0,0.0
expertqa_589,How do you develop and maintain an effective project schedule?,chunk_packed_160,ace_focused_160,0.20239039938556067,0.228018408723072,0.23492037812274155,0.2072934558945652,0.42857142857142855,160,3,0.0,0.0,157,3,0.0,0.02826855123674912,160,3,0.0,0.08247422680412372
expertqa_1237,Human remains are stowed separate from live animals as it is believed they can sense the dead body. Should this be adhered to or is there nothing more than an emotional weight put on this?,chunk_packed_160,chunk_packed_160,0.22003982235170375,0.2080508494691437,0.22470727694173592,0.21653167353503883,0.25,151,2,0.0,0.0,157,3,0.0,0.0,157,2,0.0,0.0
expertqa_1792,What is the caloric value of oecophylla smaragdina brood? ,ace_packed_160,ace_focused_160,0.17393103160943996,0.24609740290580578,0.22169826172012708,0.24013695559329268,0.42857142857142855,158,3,0.0,0.0,160,5,0.0,0.0,136,5,0.0,0.0
expertqa_1821,What are the best ways to measure the performance of a warehouse?,ace_packed_160,ace_focused_160,0.1978286541514695,0.19668880764769908,0.19984779534704072,0.28446219462221883,1.0,138,2,0.0,0.039473684210526314,136,2,0.0,0.01333333333333333,155,3,0.0,0.13836477987421383
expertqa_409,Which laws are applicable on counterfeit law?,ace_packed_160,ace_packed_160,0.17815644569431638,0.1875010637506923,0.17776965491154642,0.2157068575323578,0.42857142857142855,141,2,0.0,0.024096385542168676,158,2,0.0,0.07058823529411765,154,3,0.0,0.047619047619047616
expertqa_728,What is the best diet for general longevity?,ace_packed_160,ace_packed_160,0.16233226970601425,0.174228304540141,0.16640528505365104,0.3269005133977204,0.5,160,4,0.0,0.03603603603603604,158,3,0.0,0.03603603603603604,158,3,0.0,0.03603603603603604
