qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
ad193b1808b411ebbd88ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2248,0.5,218.0,0.5,0.0
5b168cd8089811ebbd77ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3304,1.0,224.0,1.0,1.0
b23a2b360baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1955,0.5,220.0,1.0,1.0
c5ffa16a0bdb11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1831,0.5,213.0,0.5,0.0
eb3ff1900baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.2,0.2361,0.5,216.0,1.0,1.0
59a16ade0baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3775,0.5,204.0,0.5,0.0
5c9ef1d80bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2746,0.5,193.0,0.5,0.0
a537c442086d11ebbd62ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.534,0.5,206.0,0.5,0.0
01588f7208be11ebbd8aac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5339,0.5,221.0,0.5,0.0
6b55ac320bdb11eba7f7acde48001122,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4908,1.0,218.0,1.0,1.0
fde95590089c11ebbd78ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4688,1.0,224.0,1.0,1.0
1f8a41b60bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3682,1.0,220.0,1.0,1.0
50008e080bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3519,0.5,216.0,0.5,0.0
9f62be2008ac11ebbd83ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.5178,1.0,197.0,1.0,1.0
6bb800f00bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.6262,1.0,214.0,1.0,1.0
1822cbb4089111ebbd72ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2981,0.5,208.0,0.5,0.0
87154f1e0bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1351,0.5,222.0,0.5,0.0
709430f20bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.4791,1.0,215.0,1.0,1.0
1aecfdf608a011ebbd78ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,0.0,0.6667,0.3922,1.0,204.0,1.0,1.0
03d68971096e11ebbdb0ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.5728,1.0,213.0,1.0,1.0
8a6eec600bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.6154,1.0,221.0,1.0,1.0
3497795008bb11ebbd88ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.2956,0.25,203.0,0.5,0.0
305e54500bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2009,0.5,224.0,0.5,0.0
6aa8edb5086411ebbd5eac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3909,1.0,220.0,1.0,1.0
4a8d58f0085811ebbd5aac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4064,0.5,219.0,0.5,0.0
00ce250d095f11ebbdafac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.385,1.0,213.0,1.0,1.0
c6128932093b11ebbdaeac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4575,1.0,212.0,1.0,1.0
d6c5f2680bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.2691,0.5,223.0,0.5,0.0
07626317086e11ebbd62ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.6872,0.75,195.0,0.75,0.0
61f9bff8089711ebbd77ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3578,0.5,204.0,0.5,0.0
c3e1ad9e090d11ebbdadac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3333,1.0,216.0,1.0,1.0
093fcf360bdc11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3241,0.5,216.0,0.5,0.0
6a419ba2087611ebbd67ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2342,0.5,222.0,0.5,0.0
9bd0c7e60bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2406,0.5,212.0,0.5,0.0
fdbb770408da11ebbd9cac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5872,0.5,218.0,0.5,0.0
3cc74fb60bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1822,0.5,214.0,0.5,0.0
234c4f060bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4009,1.0,222.0,1.0,1.0
c807422a0bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1143,0.5,210.0,0.5,0.0
77119398087411ebbd67ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2793,1.0,222.0,1.0,1.0
922587b80bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.1932,0.5,207.0,0.5,0.0
7de9188c088b11ebbd6fac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.5714,0.0,0.5,0.1493,0.5,201.0,0.5,0.0
ba3380fe0bdb11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.25,0.3784,0.5,222.0,0.5,0.0
710d0e740bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2315,0.5,216.0,0.5,0.0
562aab540baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3408,1.0,223.0,1.0,1.0
9ab545800bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3519,0.5,216.0,0.5,0.0
61456758085411ebbd59ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5404,0.5,198.0,0.5,0.0
26f25e9d089c11ebbd78ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.516,1.0,219.0,1.0,1.0
