qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
5add1d575542992c1e3a2540,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.183,0.5,224.0,0.5,0.0
5ac55ea55542993e66e82377,chunk_packed_224,chunk,packed,0.0,0.0,1.0,0.2192,0.5,219.0,1.0,1.0
5ac3a76e554299741d48a2be,chunk_packed_224,chunk,packed,1.0,1.0,1.0,0.5238,1.0,210.0,1.0,1.0
5a7133565542994082a3e65c,chunk_packed_224,chunk,packed,0.0,0.6667,1.0,0.4753,1.0,223.0,1.0,1.0
5ac1a4745542991316484b82,chunk_packed_224,chunk,packed,1.0,1.0,1.0,0.3202,1.0,203.0,1.0,1.0
5adc597d55429947ff17392f,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.1872,0.5,203.0,0.5,0.0
5ac55e835542993e66e82375,chunk_packed_224,chunk,packed,0.0,0.6667,1.0,0.5405,1.0,222.0,1.0,1.0
5a8d9e0f554299441c6ba015,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.2202,0.5,218.0,0.5,0.0
5ae70ed7554299572ea546a1,chunk_packed_224,chunk,packed,0.0,0.0,1.0,0.4764,1.0,212.0,1.0,1.0
5a74a8fa55429929fddd8497,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.25,0.5,204.0,0.5,0.0
5a7cb94f554299683c1c6353,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.1509,0.5,212.0,0.5,0.0
5ab874ba5542990e739ec904,chunk_packed_224,chunk,packed,0.0,0.0,1.0,0.4888,1.0,223.0,1.0,1.0
5ae3a8985542992f92d82329,chunk_packed_224,chunk,packed,0.0,0.6667,1.0,0.1216,0.5,222.0,0.5,0.0
5ac39f7b554299218029dbe7,chunk_packed_224,chunk,packed,0.0,0.0,1.0,0.4587,1.0,218.0,1.0,1.0
5ae27b535542996483e649b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,0.4104,1.0,212.0,1.0,1.0
5a7331de5542994cef4bc4a8,chunk_packed_224,chunk,packed,0.0,0.129,1.0,0.5049,1.0,206.0,1.0,1.0
5ac15de55542991316484afb,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.47,1.0,217.0,1.0,1.0
5a7c6c9d554299683c1c6302,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0714,0.5,224.0,0.5,0.0
