qid,question,rule_policy,oracle_policy,chunk_confidence,bm25_confidence,hybrid_confidence,ace_confidence,ace_chunk_doc_jaccard,chunk_packed_160_tokens,chunk_packed_160_doc_count,chunk_packed_160_em,chunk_packed_160_f1,ace_packed_160_tokens,ace_packed_160_doc_count,ace_packed_160_em,ace_packed_160_f1,ace_focused_160_tokens,ace_focused_160_doc_count,ace_focused_160_em,ace_focused_160_f1
emanual_467,I want to  enter into Ambient mode. How can I do that?,ace_packed_160,chunk_packed_160,0.16999999999999998,0.23647684863498794,0.16999999999999998,0.2785714285714286,0.0,152,3,0.0,0.1111111111111111,145,4,0.0,0.1142857142857143,157,5,0.0,0.1142857142857143
emanual_413,Where do I find signal information ?,ace_packed_160,chunk_packed_160,0.18118020866536533,0.18093768651209127,0.1901938585006327,0.31337410851659475,0.0,147,3,0.0,0.6666666666666666,157,3,0.0,0.2,155,4,0.0,0.0
emanual_32,How can I view the channels that are serached by auto program function and How can I view first five favorite channel?,chunk_packed_160,ace_packed_160,0.21,0.24846636061169503,0.2507578480268017,0.23559821301651296,0.25,159,3,0.0,0.0,141,5,0.0,0.0,141,5,0.0,0.0
emanual_490,Can I configure Tint?,ace_packed_160,chunk_packed_160,0.1650702782860544,0.21674581298076942,0.195,0.26721497909510145,0.6666666666666666,152,3,0.0,0.10526315789473685,160,3,0.0,0.10526315789473685,160,3,0.0,0.10526315789473685
emanual_426,How do I fix the missing/wrong color issue ?,ace_packed_160,chunk_packed_160,0.17977982541222115,0.22595091041418341,0.18833588628288409,0.3136363636363636,0.42857142857142855,142,4,0.0,0.12162162162162163,142,4,0.0,0.014084507042253523,157,5,0.0,0.028169014084507046
emanual_420,How do I fix blurring issues on TV screen?,chunk_packed_160,ace_focused_160,0.186,0.2332915890350372,0.186,0.18214287966134932,0.0,21,1,0.0,0.0,157,3,0.0,0.1081081081081081,156,2,0.0,0.1081081081081081
emanual_89,What is the use of universal guide?,ace_packed_160,ace_packed_160,0.19736842105263158,0.186734693877551,0.186734693877551,0.3436374444781067,0.25,153,4,0.0,0.5135135135135135,159,3,0.0,0.6097560975609756,155,4,0.0,0.3880597014925373
emanual_341,What is the feature of Bixby guide?,ace_packed_160,ace_focused_160,0.20603159829872028,0.19787234042553192,0.19787234042553192,0.2668696575785142,0.6666666666666666,147,4,0.0,0.0,155,5,0.0,0.125,158,4,0.0,0.31578947368421056
emanual_64,How to launch the last used app automatically?,ace_packed_160,ace_focused_160,0.2127906976744186,0.21923076923076923,0.21923076923076923,0.4,0.6666666666666666,158,4,0.0,0.2692307692307693,153,5,0.0,0.2692307692307693,151,5,0.0,0.2692307692307693
emanual_145,Where do I find the list of my favorite channels?,chunk_packed_160,chunk_packed_160,0.21136363636363636,0.21153091001493002,0.2076132038010629,0.23466118634791694,0.25,154,5,0.0,0.0,154,5,0.0,0.0,160,5,0.0,0.0
emanual_473, I want to setup a  beautiful screens. How can I do that?,ace_packed_160,chunk_packed_160,0.17144242336512663,0.23647684863498794,0.191191851109307,0.24,0.6666666666666666,152,3,0.0,0.06557377049180328,153,2,0.0,0.0,156,1,0.0,0.0
emanual_305,How do I record using time Timeshift function?,ace_packed_160,ace_focused_160,0.20625,0.19535001024314017,0.18656797839320738,0.2685896979519658,1.0,152,4,0.0,0.0,145,5,0.0,0.0,145,5,0.0,0.4888888888888889
emanual_365,My IP auto setting failed. How to configure it?,ace_packed_160,ace_focused_160,0.1875476352665516,0.18387096774193548,0.18387096774193548,0.24310344827586206,0.6666666666666666,160,4,0.0,0.18867924528301885,156,4,0.0,0.11538461538461539,156,4,0.0,0.1851851851851852
emanual_371,How can I connect my mobile device to the TV?,ace_packed_160,chunk_packed_160,0.19436619718309858,0.2643653834504821,0.19436619718309858,0.2785714285714286,0.42857142857142855,159,4,0.0,0.31496062992125984,140,4,0.0,0.03669724770642202,140,4,0.0,0.15517241379310345
emanual_19,How to configure Contrast and Sharpness?,ace_packed_160,ace_focused_160,0.1867119029162284,0.17872340425531913,0.17872340425531913,0.262896907438088,0.25,152,3,0.0,0.13793103448275862,150,3,0.0,0.13793103448275862,144,3,0.0,0.13793103448275862
emanual_577,What are the steps to reset network?,chunk_packed_160,ace_packed_160,0.2625,0.2691192980624584,0.2625,0.25,1.0,159,4,0.0,0.27777777777777773,160,4,0.0,0.2745098039215686,154,4,0.0,0.3684210526315789
emanual_594,How do I view a list of mobile devices registered to the TV?,ace_packed_160,ace_focused_160,0.29332452684796695,0.33632590734962886,0.31845048199449977,0.4213400626444401,0.1111111111111111,152,4,0.0,0.08163265306122448,159,4,0.0,0.08163265306122448,157,3,0.0,0.18518518518518517
emanual_454,I get this error 'some files cannot be played'. How do I fix this?,chunk_packed_160,ace_focused_160,0.26675608163103603,0.24336362871156716,0.2695846955956925,0.28052368747797296,0.6666666666666666,157,5,0.0,0.02298850574712644,156,5,0.0,0.0,156,5,0.0,0.0425531914893617
emanual_300,How do I set scheduled viewing time?,chunk_packed_160,ace_focused_160,0.195,0.19554552915753004,0.20873764347531898,0.19090909090909092,0.1111111111111111,148,3,0.0,0.2926829268292683,153,4,0.0,0.12195121951219513,159,4,0.0,0.39534883720930236
emanual_548,Can I scan TV for malicious code ?,ace_packed_160,chunk_packed_160,0.2136861452869102,0.26229706700614286,0.24280336032042715,0.305460043982464,0.6666666666666666,150,4,0.0,0.044444444444444446,157,4,0.0,0.0,159,2,0.0,0.044444444444444446
emanual_4,What is decor and how to set wallpaper of the Ambient Mode screen?,ace_packed_160,chunk_packed_160,0.1875,0.1875,0.1875,0.3,0.25,136,3,0.0,0.0,152,3,0.0,0.0,154,4,0.0,0.0
emanual_353,Can I request service I am having problem with the TV?,ace_packed_160,ace_focused_160,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.325,0.25,154,3,0.0,0.039215686274509796,148,4,0.0,0.039215686274509796,159,5,0.0,0.039999999999999994
emanual_282,From where I can see program information?,chunk_packed_160,ace_focused_160,0.22105263157894736,0.22105263157894736,0.22105263157894736,0.19090909090909092,0.1111111111111111,154,3,0.0,0.0,160,4,0.0,0.03278688524590164,151,4,0.0,0.09523809523809523
emanual_1,What is source and how to serch data for channels?,chunk_packed_160,ace_packed_160,0.21000418332636422,0.20875083053461216,0.20761522319269107,0.22746603665622772,0.25,157,4,0.0,0.0,154,3,0.0,0.0,157,5,0.0,0.0
emanual_284,How can I change Antenna type?,ace_packed_160,chunk_packed_160,0.17307692307692307,0.2571081973610228,0.20715012115272946,0.20625,0.25,155,4,0.0,0.03333333333333333,147,5,0.0,0.0,139,4,0.0,0.0
emanual_359,Can I turn on the TV with a mobile device?,ace_packed_160,chunk_packed_160,0.3057692307692308,0.3057692307692308,0.3057692307692308,0.4363636363636364,0.6666666666666666,160,3,0.0,0.19999999999999998,146,3,0.0,0.0625,157,4,0.0,0.0625
emanual_395,What is the function of 'Learn TV Remote'?,ace_packed_160,ace_packed_160,0.2125806292286226,0.22804820928087038,0.2294847934520841,0.2680577773049665,0.42857142857142855,158,5,0.0,0.3555555555555555,154,4,0.0,0.45833333333333337,160,5,0.0,0.45833333333333337
emanual_539,Can I select Ambient Light Detection ?,ace_packed_160,ace_focused_160,0.16363636363636364,0.17848101265822786,0.17848101265822786,0.37547733454189414,0.0,152,3,0.0,0.0,149,5,0.0,0.0,149,5,0.0,0.08333333333333333
emanual_433,How do I fix odd sound of speaker?,ace_packed_160,ace_focused_160,0.1875,0.1749344255924873,0.16512605042016806,0.21923076923076923,0.0,21,1,0.0,0.0,157,4,0.0,0.09174311926605504,147,4,0.0,0.14678899082568808
emanual_176,How can I search for the channels?,ace_packed_160,ace_packed_160,0.17368421052631577,0.22427015790429405,0.17184466019417474,0.24642858205284826,0.25,154,5,0.0,0.16666666666666669,158,3,0.0,0.3877551020408163,142,5,0.0,0.07792207792207792
emanual_289,Explain the steps how to do Schedule Recording while watching a program?,ace_packed_160,ace_packed_160,0.21206896551724136,0.21206896551724136,0.21206896551724136,0.35,1.0,156,3,0.0,0.1320754716981132,152,4,0.0,0.2807017543859649,152,3,0.0,0.2018348623853211
emanual_229,How can I use HDMI UHD Color?,ace_packed_160,chunk_packed_160,0.19858151609744068,0.21115133038491946,0.2136947081766786,0.26531179413664885,0.42857142857142855,160,3,0.0,0.09302325581395349,147,3,0.0,0.0,152,3,0.0,0.05925925925925926
